,precision,recall,f1-score,support
Non-urgence,0.9993579454253612,1.0,0.9996788696210661,3113.0
Urgence,1.0,0.9990671641791045,0.9995333644423705,2144.0
accuracy,0.9996195548792087,0.9996195548792087,0.9996195548792087,0.9996195548792087
macro avg,0.9996789727126806,0.9995335820895522,0.9996061170317183,5257.0
weighted avg,0.9996197991457388,0.9996195548792087,0.999619527200841,5257.0
