,precision,recall,f1-score,support
Non-urgence,0.7358859698155394,0.8458079023450048,0.7870273501718726,3113.0
Urgence,0.7141155449672424,0.5592350746268657,0.6272560816113,2144.0
accuracy,0.7289328514361804,0.7289328514361804,0.7289328514361804,0.7289328514361804
macro avg,0.7250007573913909,0.7025214884859352,0.7071417158915863,5257.0
weighted avg,0.7270071813668522,0.7289328514361804,0.7218666882365734,5257.0
