,precision,recall,f1-score,support
Non-urgence,0.809206716850029,0.8978477353035657,0.851225826100198,3113.0
Urgence,0.8236272878535774,0.6926305970149254,0.7524702305548516,2144.0
accuracy,0.8141525584934374,0.8141525584934374,0.8141525584934374,0.8141525584934374
macro avg,0.8164170023518031,0.7952391661592455,0.8018480283275249,5257.0
weighted avg,0.8150879617105212,0.8141525584934374,0.8109496235418524,5257.0
