feature,importance
emergency_word_count,0.17562783
has_emergency_word,0.1712717
has_url,0.15186667
emergency_density,0.09302462
keyword_in_text,0.045881968
exclamation_count,0.040178463
urgency_score,0.036215074
avg_word_length,0.03616604
keyword,0.03445797
mention_count,0.033115037
has_mention,0.030968674
url_count,0.030818213
text_length,0.027649181
intense_punctuation,0.024714641
stopword_ratio,0.024499826
char_count,0.02390119
word_count,0.01964292
