,precision,recall,f1-score,support
Non-urgence,0.9358592692828146,0.9442927362097214,0.9400570884871551,3662.0
Urgence,0.9180722891566265,0.906064209274673,0.9120287253141831,2523.0
accuracy,0.9286984640258691,0.9286984640258691,0.9286984640258691,0.9286984640258691
macro avg,0.9269657792197206,0.9251784727421972,0.926042906900669,6185.0
weighted avg,0.928603561787524,0.9286984640258691,0.9286236915129581,6185.0
