,precision,recall,f1-score,support
Non-urgence,0.9993577392421323,0.9996787664632187,0.9995182270756383,3113.0
Urgence,0.9995333644423705,0.9990671641791045,0.9993002099370188,2144.0
accuracy,0.999429332318813,0.999429332318813,0.999429332318813,0.999429332318813
macro avg,0.9994455518422514,0.9993729653211616,0.9994092185063286,5257.0
weighted avg,0.9994293657266883,0.999429332318813,0.9994293115829238,5257.0
